value,label,snippet
194,0c3ab2286fe6a499efe25d1fb4bce88bf2562250,<h2>Your partner’s National Insurance record and your State Pension</h2><p>Your State Pension will be reduced if you’re ordered to share your Additional State Pension or protected payment with your partner.</p>
112,0dd479da1c9b30a684a01b9bbdfe75b467b29fc4,"<h3>How Centrepay works</h3><p>We use secure, electronic transfer to deduct amounts from a person's welfare payment. If you are approved to use Centrepay, we pass these payments on to your Business.</p>"
383,0e7b585dfe576b3d8aec48a93cbbb156d91001f8,<h3>Work experience and internships</h3><p>You won’t get the National Minimum Wage or National Living Wage if you’re:</p><ul><li>a student doing work experience as part of a higher or further education course</li><li>of compulsory school age</li><li>a volunteer or doing voluntary work</li><li>on a government or European programme</li></ul>
48,0e951815143a79398681d69da2aeb4178cb5c715,"<h3>Medicare Easyclaim</h3><p>If you're using Medicare Easyclaim for patient claims, you can start claiming once your EFTPOS provider installs it. For bulk billing, you need to register your bank account details first.</p>"
243,0ebb9411f615823d9b753a962089011e796719c1,"<h1>Export food, drink and agricultural products: special rules</h1><p>There’s a ban on exporting caviar, caviar substitutes, truffles and goods containing truffles to North Korea.</p>"
449,0f510084fc50a70c54819a6d26c3e1e1eeca06e5,<h3>Your responsibilities</h3><p>Any tax credits the person gets are paid directly into your bank account. If you make a false or misleading statement you may be charged a penalty.</p>
72,0f7b6d6ed74f9908ffcde1ddccbef9e10db4b858,<h1>2. Who gets the minimum wage</h1><p>Apprentices over 19 who have completed the first year of their apprenticeship are entitled to the correct minimum wage for their age.</p>
93,0fbbb6c90770a653103237e7a412dd33612fcebf,<h1>2. When repayments have to be made</h1><p>You should also contact the office if you think the amount you’re being paid is wrong and it isn’t your fault.</p>
338,10192e759d363bec1fedf5f841543ffd4b5d7fbf,"<p>If you are in a declared disaster area and have experienced damage to your business, you may be eligible for financial assistance from the Small Business Administration (SBA). Businesses of any size and most private nonprofit organizations may apply to the SBA for a loan to recover after a disaster.</p>"
293,1065dbb24430b3b8e20a359506fd1130d91d3eab,"<h3>Restrictions</h3><p>The designated provider is prohibited from consuming marijuana obtained for the personal, medical use of the qualifying patient for whom the individual is acting as designated provider.</p>"
54,109f4a81c21e48b6e2b84e9184cdc3a16fac1890,<h2>Inheriting a protected payment</h2><p>You’ll inherit half of your partner’s protected payment if your marriage or civil partnership with them began before 6 April 2016 and:</p><ul><li>their State Pension age is on or after 6 April 2016</li><li>they died on or after 6 April 2016</li></ul>
503,118b6ac5c063e5d621c3f69c6fffd0546d5b0fe4,"<h2>Redundancy</h2><p>Employees have the right to be offered any suitable alternative job if they’re selected for redundancy (even if other colleagues are more suitable for the role) while on maternity, adoption or paternity leave.</p>"
428,1313c2beabdb65a712461a06fa59574f4c51f4ec,<h1>2. Worker</h1><p>A person is generally classed as a ‘worker’ if:</p><ul><li>their employer has to have work for them to do as long as the contract or arrangement lasts</li><li>they aren’t doing the work as part of their own limited company in an arrangement where the ‘employer’ is actually a customer or client</li></ul>
387,13c4f471bd9b81cb65da1daebd2cda1e98d26d9a,<h3>Check if you need a plant passport</h3><p>If it’s on either list you’ll need to make a plant passport.</p>
87,1415271c52760d5ce49b4204bba8db9ffd65ed94,<h1>1. Eligibility</h1><p>Some decisions can’t be reconsidered - it’ll say on your original decision letter.</p>
466,14276c1cdf6472deb3dd107c6b482c89d07228da,"<h1>1. Overview</h1><p>You’re usually considered the employer of a nanny, housekeeper, gardener or anyone else who works in your home if both:</p><ul><li>you hire them</li><li>they’re not self-employed or paid through an agency</li></ul>"
203,142894db598da6535087c68a06e72c72fad4cd42,"<h3>The State Second Pension since 2002</h3><p>You contributed through your National Insurance contributions if at any time between 6 April 2002 and 5 April 2016 you were:</p><ul><li>employed and earning at least the lower earnings limit - this was £5,824 in the 2015 to 2016 tax year</li><li>looking after children under 12 and claiming Child Benefit</li><li>caring for a sick or disabled person more than 20 hours a week and claiming Carer’s Credit</li><li>working as a registered foster carer and claiming Carer’s Credit</li></ul>"
384,1480683fe71b67b15f7188871c211ce68c1139b9,<h1>1. What’s taxed</h1><p>You may have to pay Income Tax at a higher rate if you take a large amount from a private pension. You may also owe extra tax at the end of the tax year.</p>
283,14b160401f14ee118bb31117c492404200454adf,"<h3>If you’re self-employed</h3><p>If the average hourly profit from your self-employed work is less than the National Minimum Wage, the Tax Credit Office may ask you to provide:</p><ul><li>business records</li></ul>"
469,15b63a500f40395913452861581a0a14b8e6ca25,"<h3>If you’re self-employed</h3><p>Some self-employed people are not eligible for Working Tax Credit. To qualify, your self-employed work must aim to make a profit. It must also be commercial, regular and organised.</p>"
167,16023842664f0394ec09bf2a806cc177d51d4a0d,"<p>To be eligible for enrollment, land must be private land or Tribal land that will restore, enhance or measurably increase the likelihood of recovery of a threatened or endangered species and must improve biological diversity or increase carbon sequestration.</p>"
492,1605d396798991a8c758d2767f11efa5085a4a50,<h2>Marijuana Prevention and Education Program</h2><p>The first retail marijuana stores opened in July 2014. Marijuana remains illegal for people under the age of 21.</p>
540,16452635143eddc57ed71a8b32e388370cb1fba6,<h2>Statutory Maternity Pay (SMP)</h2><p>You may also be able to claim it in:</p><ul><li>Macedonia</li></ul>
438,166ce0540b05375e08a9fed1f472dbd7b7b7389a,"<p>The Federal Housing Administration's (FHA) Energy Efficient Mortgage (EEM) program recognizes that lower utility costs can help a homeowner pay a higher mortgage to cover the cost of energy improvements. Under the program, persons may add the cost of energy-efficient improvements to their loan amount.</p>"
152,1698e7d1ffb7543311fc0156fa9866a2cba69f57,<h1>4. Moving to the UK</h1><p>You must have been living in the UK for 3 months before you’re eligible to claim Child Tax Credit if you moved to the UK on or after 1 July 2014 and don’t have a job. This doesn’t apply if you:</p><ul><li>have been given leave to stay as a displaced person and you can get benefits</li><li>have been given to leave to stay and have applied for settlement as a victim of domestic violence</li><li>have been granted humanitarian protection</li><li>were made redundant in the UK (or your family member was) and you’re looking for a job or in training</li></ul>
95,16dcccc6746b54b08cc1d05a2e14b9773aff637e,<h1>Export drugs and medicines: special rules</h1><p>You need permission to export:</p><ul><li>medicines for humans or animals</li></ul>
453,16ff58d1364fd24b25dce1868e4f55f94bb553e5,"<p>The Foreign Medical Program (FMP) is a Department of Veteran's Affairs' (VA) health care benefits program for Veterans with VA rated service-connected conditions that are residing or traveling abroad. Under FMP, VA assumes payment responsibility for certain necessary health care services associated with the treatment of VA adjudicated service-connected conditions, disabilities associated with and held to be aggravating a service-connected condition, and care for Veterans participating in a rehabilitation program under 38 U.S.C. Chapter 31.</p>"
157,1788209f9878c64dbd2f19a526bfa4aeec2c9a78,<h1>4. Contracting out</h1><p>You could only contract out of the Additional State Pension if your employer ran a contracted-out pension scheme. Check with them.</p>
145,179930e03549992036b0ea730be8ccea88fa7518,<h1>1. Overview</h1><p>You’ll need to read about the new State Pension instead.</p>
268,179d03b9cb833c8892e5fb5a76f9fcae1faf83e1,"<h2>Exceptions</h2><p>If you commit benefit fraud and you get any of the following, none of your payments can be stopped or reduced:</p><ul><li>Statutory Sick Pay</li></ul>"
331,17e6edfad9b170dba8ab752f739c57fa6c4f3ddb,"<p>To be eligible for EIDL assistance, small businesses or private non-profit organizations must have sustained economic injury and be located in a disaster declared county or contiguous county.</p>"
123,17ebfeeef33e0a7fca767b44c31efe3cd6d95b96,"<h2>Statutory Maternity Pay (SMP)</h2><p>If you work in a different country, you can still get SMP as long as your employer pays UK National Insurance contributions for you.</p>"
335,18728069229e8cea4a4c2ee263edbba685bceedb,<h3>If you reached State Pension age on or after 6 April 2016</h3><p>You can’t inherit your spouse or civil partner’s Additional State Pension if either:</p><ul><li>your spouse or civil partner died on or after 6 April 2016 and reached (or would have reached) State Pension age on or after 6 April 2016</li><li>you started your marriage or civil partnership on or after 6 April 2016</li></ul>
267,1910af98ebdd93c6386a10c34459b732822e7537,"<h2>Cooperatives</h2><p>No cooperative may be located in any of the following areas:</p><ul><li>Within one mile of a marijuana retailer;</li><li>Within the smaller of either:<strong> 1,000 feet of schools, playgrounds, recreation centers, daycare centers, or any facility restricted to people 21 years or older, or</strong> The area restricted by ordinances; or</li></ul>"
620,1bffa74bcbef2fea024320856319d103597a3bda,"<h1>4. Moving to the UK</h1><p>There will be no change to the rights and status of EU nationals living in the UK, nor UK nationals living in the EU, while the UK remains in the EU.</p>"
318,1c1738ae4a358a3484d908463528a1a251932444,<h2>Your nationality or residency status</h2><p>You may also qualify if you’re:</p><ul><li>the child of a Swiss national</li><li>the child of a Turkish worker</li><li>under humanitarian protection or a relative of someone who has been granted it</li><li>a serving member of the UK armed forces (or their spouse or civil partner or a dependent parent living with them) not resident in the UK and your course started after 1 August 2017</li></ul>
468,1c43ea370c21bdea4f42bb5e1869a3908b89c52d,<h3>How Centrepay works</h3><p>People receiving welfare payments may ask to pay their bills and other costs through Centrepay.</p>
404,1c704178d5f74f594f1450e515620efa71473f40,<h1>2. Appeal to the tribunal</h1><p>You must either ask for ‘mandatory reconsideration’ or take other steps before you appeal to the Social Security and Child Support Tribunal - it depends on what you’re appealing.</p>
43,1c8c5b07cb071af172ddb76be87f4f0b977624e0,"<h3>Online claiming for Home Care providers</h3><p>We're gradually introducing a new online claiming system, called Aged Care Online Services. Currently, only Home Care providers can access Aged Care Online Services.</p>"
32,1cc7fdc6dfd2c02171801e32f4e17ec1dff0bf4b,"<h1>1. Overview</h1><p>You can apply for a Tier 4 (General) student visa to study in the UK if you’re 16 or over and you:</p><ul><li>have been offered a place on a course</li><li>can speak, read, write and understand English</li><li>have enough money to support yourself and pay for your course - the amount will vary depending on your circumstances</li><li>are from a country that’s not in the European Economic Area (EEA) or Switzerland</li></ul>"
569,1ce72909ca3a181ec01c6667e36ca15a6b9d339a,"<p>The purpose of the Business &amp; Industrial (B&amp;I) Guaranteed Loan Program is to improve, develop, or finance business, industry, and employment and improve the economic and environmental climate in rural communities. This purpose is achieved by bolstering the existing private credit structure through the guarantee of quality loans which will provide lasting community benefits.</p>"
421,1d2410a662de27f616edd96df300daf5a91a4a5f,"<h1>Income Tax</h1><p>The federal income tax is a pay-as-you-go tax. You must pay the tax as you earn or receive income during the year. An employee usually has income tax withheld from his or her pay. If you do not pay your tax through withholding, or do not pay enough tax that way, you have to pay estimated tax.</p>"
294,1e39587abccee2a1f326bb3ae3698e90c205df14,"<h2>Work out if you need to pay</h2><p>You may be able to use the Capital Gains Tax calculator to work out how much tax to pay on your property. You can’t use it if you:</p><ul><li>sold business premises or land</li><li>sold other chargeable assets in the tax year, for example shares</li><li>reduced your share of a property that you still jointly own</li><li>claim any reliefs other than Private Residence Relief or Letting Relief</li></ul>"
556,1e4911a78470cf17569960fe7321e9047dffcf7b,<p>No risk of losing money while safely earning interest</p>
374,1eff77b04dbd9c260fa6b3a78db9ab0f29ff7184,<h2>Selling in special circumstances</h2><p>There are special rules for calculating your gain if:</p><ul><li>you sell a lease or part of your land</li><li>your property is compulsorily purchased</li></ul>
528,1f10276a93029deac3765d05b9fbf0ad1d16cd1f,"<h3>New goods and services</h3><p>If your Business provides relevant goods and services, and meets the eligibility criteria in the Centrepay Policy and Terms, you may apply to use Centrepay by submitting a Business Application. If you have an already approved Business, contact your account manager to discuss applying for a new service.</p>"
363,1f458ad7f0dca15c45b01c5c055c94c90d179c98,"<h1>2. Charity donations: tax relief</h1><p>If the charity or CASC gets back more tax than you’ve paid, HMRC may ask you to pay more tax to cover the difference.</p>"
319,200ed5167d2d36b0ab21662c1cb8e1cb0f54fa99,"<h1>Find Affordable Rental Housing</h1><p>People with low income, seniors, and people with disabilities may qualify for help from the U.S. Department of Housing and Urban Development (HUD) to get affordable rental housing. HUD doesn't own rental property. It gives money to states and building owners, who in turn provide low-income housing opportunities.</p>"
336,20b3eb0e1146ca4b7f0706d7b6767b823671c5b7,<h1>1. Overview</h1><p>You can:</p><ul><li>claim tax credits for both your child and their baby</li></ul>
239,21ceca14e6c1156b05155d337c294c4db97c0441,"<h4>Centrepay promotional products include:</h4><p>A Business can have up to 30,000 brochures free each year. You can talk to us about larger printing requests, which we will generally charge at cost.</p>"
593,21f3e298787fd4984709a26a1b7b5201ef5b4e59,"<h2>Claim expenses</h2><p>You may be able to claim for reasonable expenses for going to the tribunal, for example:</p><ul><li>travel expenses to cover your fare if you get there using public transport</li><li>travel expenses of 12p per mile if you drive, plus 2p per mile for up to 2 passengers</li><li>meals - £4.25 if you’re away for more than 5 hours, £9.30 for more than 10 hours or £13.55 for more than 12 hours</li><li>loss of earnings - £37.06 if you’re away from work for up to 4 hours or £71.80 for 4 hours or more</li></ul>"
0,21fe1028028910dd3f9b4071a3135639efedc236,<h3>Parenting Payment</h3><ul><li>have income under the limits</li><li>meet principal carer rules and care for a child under 8 if you’re single or under 6 if you’re partnered</li><li>meet residence rules</li><li>can’t claim before the birth of a child</li></ul>
2,22565f23aa9d830fdfafa2c4c9b0b564efdb19b0,"<p>In order to qualify for this benefit program, you must be one of the following:</p><ul><li>An individually enrolled member of a Federally recognized American Indian tribe or Alaska Native group</li><li>A corporation, limited liability company or other acceptable business entity with no less than 51 percent ownership by Federally recognized American Indians or Alaska Natives.</li><li>A Federally recognized American Indian Tribe or Alaska Native group.</li></ul>"
416,226962ce804248f63774c2e6714ae7d8343e3ec2,<h2>Applying to become a tax credit appointee</h2><p>You must be over 18 and have a bank account. You don’t have to be a relative.</p>
249,22bc1e400ba3cacd7b8d957bace7843d6a64ee5e,"<h2>If your life expectancy is less than a year</h2><p>You may be able to take all the money in your pension as a tax-free lump sum, if all of the following apply:</p><ul><li>you’re expected to live less than a year because of serious illness</li><li>you’re under 75</li><li>you don’t have more than the lifetime allowance of £1 million in pension savings</li></ul>"
79,23325e2a328db13dd0dc8951089583ba0cdc509e,"<p>The Conservation Stewardship Program (CSP) helps agricultural producers maintain and improve their existing conservation systems and adopt additional conservation activities to address priority resources concerns. Participants earn CSP payments for conservation performance - the higher the performance, the higher the payment.</p>"
274,23a06b3a245716e227c35789d6d1828dc420402f,"<p>Collateral Requirements: Collateral is required for all MREIDLs over $50,000. SBA takes real estate as collateral when it is available. SBA will not decline a loan for lack of collateral, but SBA will require the borrower to pledge collateral that is available.</p>"
444,23c4df360ff99332b717f4d3e7786ff326ced550,<h1>5. When not to charge VAT</h1><p>You can’t charge VAT on exempt or ‘out of scope’ items.</p>
291,244c7bd361ea8a24e0712e17c216f1c60bc66c12,<h2>Reaching the gap threshold</h2><p>If you’re single we’ll automatically pay you the higher benefit when you reach the threshold.</p>
231,24c3d1564fe867d747615c7c456b30c37de84ff2,<h2>North Korea</h2><p>The banned luxury goods for North Korea are:</p><ul><li>pure bred horses</li><li>caviar and caviar substitutes</li><li>truffles and goods containing truffles</li><li>high quality wines and spirits</li></ul>
286,25860d36a868b8ee601ad8cf638fccde49923702,<h1>2. What's tax-free</h1><p>You won’t usually pay any tax if your total annual income adds up to less than your Personal Allowance.</p>
278,2588e105d705cf0c1be9fdeedb9987d76570e19c,"<h1>8. Cancel registration</h1><p>You can ask HM Revenue and Customs (HMRC) to cancel your registration if your VAT taxable turnover falls below the de-registration threshold of £83,000.</p>"
394,25af33ccf56c60fd2da683d6485ffc20118b6551,<h1>7. Inheriting or increasing State Pension from a spouse or civil partner</h1><p>You might be able to inherit an extra payment on top of your new State Pension if you’re widowed.</p>
226,2615c2e542859fe7f4b373ac234944571841ffe0,"<p>In order to qualify for this benefit program, you must be divorced from a deceased spouse and meet the following requirements:</p><ul><li>Not entitled to an equal or higher Social Security retirement benefit based on your own work.</li></ul>"
41,264efdeb999c4566f6b1a576ce68ff4935aed384,<h1>3. Eligibility</h1><p>You may get Cold Weather Payments if you’re getting:</p><ul><li>Pension Credit</li><li>Income Support</li><li>income-based Jobseeker’s Allowance</li><li>income-related Employment and Support Allowance</li></ul>
199,26d32316aa59a56f00dd0470235447e2c4b38e9d,"<h2>If your benefits stop</h2><p>If this happens, you could get an extra 4 weeks of Housing Benefit to help you pay your rent. This is called Extended Payment of Housing Benefit. If you’re eligible your council will contact you. You must have received certain benefits continuously for at least 26 weeks right up to the time when you went back work.</p>"
407,26ea2e4f87b70966e020506877ee2cbcb8c65f6f,<h3>Paying back the loan</h3><p>You must pay back the loan after 25 years or when you sell your home - whichever comes first. The amount you pay back depends on how much your home is worth (the market value).</p>
474,26fc8bb4213ca9094cfd4cf5ae8813751487de25,<h2>Your child is over 16</h2><p>You can make the claim for them if both the following apply:</p><ul><li>your child and their baby live with you</li><li>your child is in approved education or training</li></ul>
454,270f440e1c0fa20684926e40896082cdad1682eb,<h2>When to contact the benefit office</h2><p>It’s your responsibility to contact the office straight away if:</p><ul><li>you think you’ve been overpaid</li><li>you get a letter telling you that you’ve been overpaid - and who to contact</li><li>your circumstances change and this is likely to affect a benefit</li></ul>
73,2751367d4f5893c9e84ab15107d2613c9d9cb7b9,"<h3>Employment and Support Allowance, Income Support or Jobseeker’s Allowance</h3><p>Contact Jobcentre Plus to claim Housing Benefit along with your application for the following benefits:</p><ul><li>Employment and Support Allowance</li><li>Income Support</li><li>Jobseeker’s Allowance</li></ul>"
250,27c2186236a4b8cd042ddcb7bd2ec2885d1fe082,"<h1>Export livestock, poultry or bees: special rules</h1><p>You must have an Intra Trade Animal Health Certificate (ITAHC) to move livestock or poultry within the EU.</p>"
504,27ce4b05e715624584fcc9a29d397d19d8848c8e,"<p>Under the ALE component, the Natural Resources Conservation Service (NRCS) helps Indian tribes, State and local governments and non-governmental organizations protect working agricultural lands and limit non-agricultural uses of the land.</p>"
196,2888c7fd4b98f44902f40be510af3fdb68f3d0f2,"<h2>Claiming when abroad</h2><p>There will be no change to the rights and status of EU nationals living in the UK, nor UK nationals living in the EU, while the UK remains in the EU.</p>"
289,288c3616389e3429814ca30c2f56fe10fe84883c,<h1>1. How VAT works</h1><p>You can only charge VAT if your business is registered for VAT.</p>
117,28eee660b6fb595b8142f6104a243f49f36371c2,<h2>Inheriting Additional State Pension</h2><p>You might inherit part of your deceased partner’s Additional State Pension if your marriage or civil partnership with them began before 6 April 2016 and one of the following applies:</p><ul><li>your partner reached State Pension age before 6 April 2016</li><li>they died before 6 April 2016 but would have reached State Pension age on or after that date</li></ul>
624,28f239e6d6bb6c11d32a13be562bcb00fbde3baa,"<h1>General Program Requirements</h1><p>Borrowers must qualify for a home purchase or refinance under FHA's minimum credit requirements. The energy-efficient improvements must be cost-effective, meaning that the total cost of the improvements must be less than the energy saved over the expected life of the improvements.</p>"
443,292eb7c0d50f86fd6a8170be27e84b40812babcd,"<h2>General Program Requirements</h2><p>In order to qualify for this benefit program, you must be a American Indian/Alaska Native, you must be accepted or enrolled in an accredited degree program, college or university, and you or a family member must be enrolled in a Federally recognized American Indian tribe or Alaska Native village.</p>"
205,2a1615ec2e4a784335cbcdb9b84a9324b59f5ab7,"<h1>1. How VAT works</h1><p>VAT is charged on things like:</p><ul><li>items sold to staff - for example canteen meals</li><li>business goods used for personal reasons</li><li>‘non-sales’ like bartering, part-exchange and gifts</li></ul>"
310,2a47d0c24d72aec7bf4875e18a2d42d70cab97be,"<h2>Eligibility</h2><p>The home you buy must:</p><ul><li>be a new build</li><li>have a purchase price of up to £600,000 in England (or £300,000 in Wales)</li><li>be the only one you own</li><li>not be sub-let or rented out after you buy it</li></ul>"
333,2a4e3fb923385b475b77fe9c0547cf495cd9fc92,<p>You can’t usually appeal to the tribunal if you haven’t asked for mandatory reconsideration within the time limit.</p>
607,2a80528af9776acce3017c565ae14896ba05469d,<h1>General Program Requirements</h1><p>The borrower must qualify for the portion of the loan used to purchase or refinance a home. Borrowers are not required to qualify on the portion of the loan used for making energy-efficient upgrades. All FHA-approved lenders are eligible to offer EEM to persons who are purchasing or refinancing with an FHA-insured mortgage.</p>
328,2a9a97559011094fef6cda24fdb3aa3681da31ad,<h2>Sanctionable benefits</h2><p>The following benefits can be reduced or stopped if you commit benefit fraud:</p><ul><li>Carer’s Allowance</li><li>Employment and Support Allowance</li><li>Housing Benefit</li><li>Incapacity Benefit</li></ul>
175,2b4716df0ee1a593461ba8503b567611cecbc298,"<h3>Who can use online claiming</h3><p>Approved aged care providers and authorised staff members can access online claiming if they're registered with us as:</p><ul><li>a Residential Care service</li><li>a Home Care service</li><li>a Multipurpose service, or</li><li>an Aged Care Assessment Team</li></ul>"
441,2b48a053981dc4c15c730751c5fbe21ba75b3aa9,"<h2>Taking repayments from your benefits</h2><p>If you’re still receiving the benefit, the regular amount you get will be reduced until you’ve paid back the money.</p>"
302,2b4c221fcba3c1755a8f7f11f24f9d0452188206,<h3>VAT registration</h3><p>Businesses that sell only VAT-exempt goods and services can’t register for VAT.</p>
156,2b8b33663968c0d4c21b9b9e6cdf08cd14be50a1,<h1>2. Eligibility</h1><p>*[CAS]: confirmation of acceptance for studies</p>
365,2bfa06059e120f903c2abdbd6c87ec302b1fef51,"<h1>Independent Contractor Defined</h1><p>If you are an independent contractor, you are self-employed. To find out what your tax obligations are, visit the Self-Employed Tax Center.</p>"
191,2c93452e825a3aed069ac1f6e307640c46481cb0,"<h2>At the hearing</h2><p>You (and anyone you’ve brought to take part in the hearing) may be asked questions by:</p><ul><li>your representative (if you have one), such as a lawyer, friend, family member or someone from an advice centre</li><li>the government department or council’s representative (known as the ‘presenting officer’)</li><li>a panel of experts - who they are depends on what the case is about</li><li>the judge</li></ul>"
467,2ca08586f8b0d7e9c36d678acedba83644225c15,<h2>Taking repayments from your benefits</h2><p>Contact the DWP Debt Management contact centre if the person who died owed a repayment.</p>
393,2dccde57796a89580a7fb8534124d465601e4ab8,"<h2>General Program Requirements</h2><p>In order to qualify for this benefit program, the child you are claiming the credit for must be a son, daughter, foster child, brother, sister, stepbrother, stepsister, or a descendant of any of them (for example, your grandchild, niece, or nephew). An adopted child is always treated as your own child. An adopted child includes a child lawfully placed with you for legal adoption.</p>"
223,2de01e14cde8aebda9152ec61ee3e48d673eba6e,<h2>Benefits this applies to</h2><p>You can ask for mandatory reconsideration for benefits including:</p><ul><li>Universal Credit</li><li>Vaccine Damage Payment</li><li>Winter Fuel Payment</li></ul>
581,2e258337c2443f449e3dd628f50b344f5d07ce5a,"<h2>Carers and personal assistants</h2><p>You’re classed as an employer if you pay a carer or personal assistant directly, even if you get money from your local council (‘direct payments’) or the NHS to pay for them.</p>"
143,2e38b8362c6ef06e15718f0e86667818a701e8bf,<h2>Your child is over 16</h2><p>You must stop claiming tax credits for your child if they start claiming tax credits for themselves. Phone the helpline to stop claiming tax credits.</p>
15,2e9e23484d415b1c903a2a58a9d0ad0c08316afd,"<h1>3. Eligibility</h1><p>If you have fewer than 30 qualifying years, your basic State Pension will be less than £122.30 per week but you might be able to top up by paying voluntary National Insurance contributions.</p>"
311,2eeb6b5ed46cea8a9c0e9b1b1fcd0fc9fbbf8af9,"<h1>5. If you let out your home</h1><p>If you qualify for Private Residence Relief and have a chargeable gain, you may also qualify for Letting Relief. This means you’ll pay less or no tax.</p>"
398,2f0d60c469b3c8ae2cc46e4d0e0914c404cec9cf,"<h2>Claiming when abroad</h2><p>If you’re going to (or are already living in) a European Economic Area (EEA) country or one with a special agreement with the UK, you may be able to claim:</p><ul><li>UK-based benefits</li><li>benefits provided by the country you’re going to</li></ul>"
545,2f27077cd385107f05b4737b4ccfd12808b8f9b8,<h2>Check if you were contracted out</h2><p>Check your old payslips. You were contracted out if the National Insurance contributions line has the letter D or N next to it. You weren’t contracted out if it has a letter A.</p>
89,2fdf76436b9f1bf5c64e44db148b9b31e9acc432,"<p>Priority Groups 1-3 - Service-connected Veterans who have received a VA disability rating, POWs, awarded Purple Heart Medal or Medal of Honor.</p>"
